title,boxoffice,dates,budget,genre
End of Days,66889043,11/24/99,100000000.0,Horror
Sleepy Hollow,101071502,11/19/99,100000000.0,Horror
House on Haunted Hill,40846082,10/29/99,37000000.0,Horror
Stigmata,50046268,9/10/99,29000000.0,Horror
Stir of Echoes,21142914,9/10/99,12000000.0,Horror
The Astronaut's Wife,10672566,8/27/99,75000000.0,Horror
Deep Blue Sea,73648142,7/30/99,60000000.0,Horror
The Blair Witch Project,140539099,7/16/99,60000,Horror
Lake Placid,31770414,7/16/99,35000000.0,Horror
Idle Hands,4152230,4/30/99,25000000.0,Horror
Ravenous,2062405,3/19/99,12000000.0,Horror
The Rage: Carrie 2,17762705,3/12/99,21000000.0,Horror
Virus,14036005,1/15/99,75000000.0,Horror
The Faculty,40283321,12/25/98,15000000.0,Horror
I Still Know What You Did Last Summer,40002112,11/13/98,65000000.0,Horror
John Carpenter's Vampires,20308772,10/30/98,20000000.0,Horror
Bride of Chucky,32383850,10/16/98,25000000.0,Horror
Urban Legend,38072438,9/25/98,14000000.0,Horror
Halloween: H20,55041738,8/7/98,17000000.0,Horror
An American Werewolf in Paris,26570463,12/25/97,25000000.0,Horror
Scream 2,101363301,12/12/97,24000000.0,Horror
Alien Resurrection,47795658,11/26/97,75000000.0,Horror
Mimic,25480490,8/22/97,30000000.0,Horror
Scream,103046663,12/20/96,14000000.0,Horror
From Dusk Till Dawn,25836616,1/19/96,19000000.0,Horror
In the Mouth of Madness,8924549,2/3/95,8000000.0,Horror
Interview with the Vampire,105264608,11/11/94,60000000.0,Horror
Mary Shelley's Frankenstein,22006296,11/4/94,45000000.0,Horror
Bram Stoker's Dracula,82522790,11/13/92,40000000.0,Horror
Alien 3,55473545,5/22/92,50000000.0,Horror
The Lawnmower Man,32100816,3/6/92,10000000.0,Horror
The People Under the Stairs,24204154,11/1/91,6000000.0,Horror
Freddy's Dead: The Final Nightmare,34872033,9/13/91,11000000.0,Horror
Halloween 4: The Return of Michael Myers,17768757,10/21/88,5000000.0,Horror
Predator,59735548,6/12/87,15000000.0,Horror
Angel Heart,17185632,3/6/87,17000000.0,Horror
The Texas Chainsaw Massacre 2,8025872,8/22/86,4700000.0,Horror
Re-Animator,2023414,10/18/85,900000,Horror
