title,boxoffice,dates,budget
The Secret Life of Pets 2,153918300,6/7/19,80000000.0
Uglydolls,20150241,5/3/19,45000000.0
How to Train Your Dragon: The Hidden World,160799505,2/22/19,129000000.0
Spider-Man: Into The Spider-Verse,190241310,12/14/18,90000000.0
Ralph Breaks the Internet,201091711,11/21/18,175000000.0
Dr. Seuss' The Grinch (2018),270620950,11/9/18,75000000.0
Teen Titans Go! To The Movies,29790236,7/27/18,10000000.0
Hotel Transylvania 3: Summer Vacation,167510016,7/13/18,80000000.0
Sherlock Gnomes,43242871,3/23/18,59000000.0
Peter Rabbit,115253424,2/9/18,50000000.0
Ferdinand,84410380,12/15/17,111000000.0
The Star,40852824,11/17/17,20000000.0
My Little Pony: The Movie,21885107,10/6/17,6500000.0
The Nut Job 2: Nutty by Nature,28370522,8/11/17,40000000.0
The Emoji Movie,86089513,7/28/17,50000000.0
Despicable Me 3,264624300,6/30/17,80000000.0
Captain Underpants: The First Epic Movie,73921000,6/2/17,38000000.0
Smurfs: The Lost Village,45020282,4/7/17,60000000.0
The LEGO Batman Movie,175750384,2/10/17,80000000.0
Sing,270395425,12/21/16,75000000.0
Trolls,153707064,11/4/16,125000000.0
Storks,72679278,9/23/16,70000000.0
Kubo and the Two Strings,48023088,8/19/16,60000000.0
Sausage Party,97685686,8/12/16,19000000.0
Ice Age: Collision Course,64063008,7/22/16,105000000.0
The Secret Life of Pets,368384330,7/8/16,75000000.0
The Angry Birds Movie,107509366,5/20/16,73000000.0
Kung Fu Panda 3,143528619,1/29/16,145000000.0
Anomalisa,3759286,12/30/15,8000000.0
The Peanuts Movie,130178411,11/6/15,99000000.0
Hotel Transylvania 2,169700110,9/25/15,80000000.0
Un Gallo con Muchos Huevos,9080818,9/4/15,5300000.0
Minions,336045770,7/10/15,74000000.0
Inside Out,356461711,6/19/15,175000000.0
Home (2015),177397510,3/27/15,135000000.0
The SpongeBob Movie: Sponge Out of Water,162994032,2/6/15,74000000.0
Penguins of Madagascar,83350911,11/26/14,132000000.0
Big Hero 6,222527828,11/7/14,165000000.0
The Book of Life (2014),50151543,10/17/14,50000000.0
The Boxtrolls,50837305,9/26/14,60000000.0
Planes: Fire & Rescue,59165787,7/18/14,50000000.0
