title,boxoffice,dates,budget
A Midsummer Night's Dream,16071990,5/14/99,11000000.0
Never Been Kissed,55474756,4/9/99,25000000.0
10 Things I Hate About You,38178166,3/31/99,30000000.0
Forces of Nature,52888180,3/19/99,75000000.0
Just the Ticket,430404,2/26/99,12000000.0
Blast from the Past,26511114,2/12/99,35000000.0
Simply Irresistible,4398989,2/5/99,6000000.0
She's All That,63366989,1/29/99,10000000.0
You've Got Mail,115821495,12/18/98,65000000.0
Shakespeare in Love,100317794,12/11/98,25000000.0
Home Fries,10459961,11/27/98,35000000.0
There's Something About Mary,176484651,7/15/98,23000000.0
Sliding Doors,11841544,4/24/98,6000000.0
The Wedding Singer,80245725,2/13/98,18000000.0
As Good as It Gets,148478011,12/23/97,50000000.0
My Best Friend's Wedding,127120029,6/20/97,38000000.0
The Beautician and the Beast,11486880,2/7/97,16000000.0
Sabrina,53672080,12/15/95,58000000.0
The Perez Family,2832826,5/12/95,11000000.0
While You Were Sleeping,81057016,4/21/95,17000000.0
Don Juan de Marco,22150451,4/7/95,25000000.0
I.Q.,26381221,12/25/94,25000000.0
Four Weddings and a Funeral,52700832,3/11/94,4400000.0
For Love or Money,11146270,10/1/93,30000000.0
Sleepless in Seattle,126808165,6/25/93,21000000.0
Much Ado About Nothing,22549338,5/7/93,11000000.0
Boomerang,70052444,7/1/92,42000000.0
Mannequin Two: On the Move,3752428,5/17/91,13000000.0
The Marrying Man,12454768,4/5/91,26000000.0
Pretty Woman,178406268,3/23/90,14000000.0
Valley Girl,17343596,4/29/83,350000
