title,boxoffice,dates,budget,links
Ice Age: Continental Drift,"$161,321,843",7/13/12,$95 million,/movies/?id=iceage4.htm
Brave,"$237,283,207",6/22/12,$185 million,/movies/?id=bearandthebow.htm
Madagascar 3: Europe's Most Wanted,"$216,391,482",6/8/12,$145 million,/movies/?id=madagascar3.htm
A Cat in Paris,"$309,973",6/1/12,N/A,/movies/?id=acatinparis.htm
Arjun: The Warrior Prince,"$10,017",5/25/12,N/A,/movies/?id=arjun-thewarriorprince.htm
Space Dogs 3D,"$14,408",5/18/12,N/A,/movies/?id=spacedogs3d.htm
The Pirates! Band of Misfits,"$31,051,126",4/27/12,$55 million,/movies/?id=pirates12.htm
Dr. Seuss' The Lorax,"$214,030,500",3/2/12,$70 million,/movies/?id=lorax.htm
The Secret World of Arrietty,"$19,202,743",2/17/12,N/A,/movies/?id=arrietty.htm
Chico & Rita,"$350,524",2/10/12,N/A,/movies/?id=chicoandrita.htm
Fullmetal Alchemist: The Sacred Star of Milos,"$177,802",1/20/12,N/A,/movies/?id=fullmetalalchemist2012.htm
The Adventures of Tintin,"$77,591,831",12/21/11,N/A,/movies/?id=tintin.htm
Arthur Christmas,"$46,462,469",11/23/11,N/A,/movies/?id=arthurchristmas.htm
Happy Feet Two,"$64,006,466",11/18/11,N/A,/movies/?id=happyfeet2.htm
Puss in Boots,"$149,260,504",10/28/11,$130 million,/movies/?id=pussinboots12.htm
The Greatest Miracle,"$555,166",10/14/11,N/A,/movies/?id=greatestmiracle.htm
Winnie the Pooh,"$26,692,846",7/15/11,$30 million,/movies/?id=winniethepooh.htm
Trigun: Badlands Rumble,"$62,027",7/8/11,N/A,/movies/?id=trigun2011.htm
Cars 2,"$191,452,396",6/24/11,$200 million,/movies/?id=cars2.htm
Kung Fu Panda 2,"$165,249,063",5/26/11,$150 million,/movies/?id=kungfupanda2.htm
Hoodwinked Too! Hood vs. Evil,"$10,143,779",4/29/11,$30 million,/movies/?id=hoodwinked2.htm
Rio,"$143,619,809",4/15/11,$90 million,/movies/?id=rio.htm
Mia and the Migoo,"$16,975",3/25/11,N/A,/movies/?id=miaandthemigoo.htm
Mars Needs Moms,"$21,392,758",3/11/11,$150 million,/movies/?id=marsneedsmoms.htm
Rango,"$123,477,607",3/4/11,$135 million,/movies/?id=rango.htm
Gnomeo and Juliet,"$99,967,670",2/11/11,N/A,/movies/?id=gnomeoandjuliet.htm
Evangelion 2.0: You Can (Not) Advance,"$133,640",1/21/11,N/A,/movies/?id=evangelion2.htm
The Illusionist (2010),"$2,231,474",12/25/10,$17 million,/movies/?id=illusionist2010.htm
Summer Wars,"$80,768",12/24/10,N/A,/movies/?id=summerwars.htm
Tangled,"$200,821,936",11/24/10,$260 million,/movies/?id=rapunzel.htm
Megamind,"$148,415,853",11/5/10,$130 million,/movies/?id=mastermind.htm
The Trouble with Terkel (2010),"$161,457",10/15/10,N/A,/movies/?id=troublewithterkel.htm
Nine Nation Animation,"$38,382",9/29/10,N/A,/movies/?id=ninenationanimation.htm
Legend of the Guardians: The Owls of Ga'Hoole,"$55,675,313",9/24/10,$80 million,/movies/?id=guardiansofgahoole.htm
Alpha and Omega,"$25,107,267",9/17/10,N/A,/movies/?id=alphaandomega.htm
My Dog Tulip,"$246,574",9/1/10,N/A,/movies/?id=mydogtulip.htm
Tales from Earthsea,"$48,461",8/13/10,N/A,/movies/?id=talesfromearthsea.htm
Despicable Me,"$251,513,985",7/9/10,$69 million,/movies/?id=despicableme.htm
Toy Story 3,"$415,004,880",6/18/10,$200 million,/movies/?id=toystory3.htm
Shrek Forever After,"$238,736,787",5/21/10,$165 million,/movies/?id=shrek4.htm
How to Train Your Dragon,"$217,581,231",3/26/10,$165 million,/movies/?id=howtotrainyourdragon.htm
The Secret of Kells,"$676,775",3/5/10,$8 million,/movies/?id=secretofkells.htm
The Princess and the Frog,"$104,400,899",11/25/09,$105 million,/movies/?id=princessandthefrog.htm
Planet 51,"$42,194,060",11/20/09,$70 million,/movies/?id=planet51.htm
Fantastic Mr. Fox,"$21,002,919",11/13/09,$40 million,/movies/?id=fantasticmrfox.htm
A Christmas Carol (2009),"$137,855,863",11/6/09,$200 million,/movies/?id=christmascarol09.htm
Astro Boy,"$19,551,067",10/23/09,$65 million,/movies/?id=astroboy.htm
Cloudy with a Chance of Meatballs,"$124,870,275",9/18/09,$100 million,/movies/?id=cloudywithachanceofmeatballs.htm
9,"$31,749,894",9/9/09,$30 million,/movies/?id=9.htm
Ponyo,"$15,743,471",8/14/09,N/A,/movies/?id=ponyo.htm
Evangelion 1.0 You Are (Not) Alone,"$107,797",7/3/09,N/A,/movies/?id=evangelion1.htm
Ice Age: Dawn of the Dinosaurs,"$196,573,705",7/1/09,$90 million,/movies/?id=iceage3.htm
Up,"$293,004,164",5/29/09,$175 million,/movies/?id=up.htm
Battle for Terra,"$1,647,083",5/1/09,N/A,/movies/?id=battleforterra.htm
Monsters Vs. Aliens,"$198,351,526",3/27/09,$175 million,/movies/?id=monstersvsaliens.htm
Coraline,"$75,286,229",2/6/09,$60 million,/movies/?id=coraline.htm
Waltz with Bashir,"$2,283,849",12/25/08,N/A,/movies/?id=waltzwithbashir.htm
The Tale of Despereaux,"$50,877,145",12/19/08,$60 million,/movies/?id=taleofdespereaux.htm
Delgo,"$694,782",12/12/08,$40 million,/movies/?id=delgo.htm
$9.99,"$52,384",12/12/08,N/A,/movies/?id=9dot99.htm
Bolt,"$114,053,579",11/21/08,$150 million,/movies/?id=bolt.htm
Madagascar: Escape 2 Africa,"$180,010,950",11/7/08,$150 million,/movies/?id=madagascar2.htm
Roadside Romeo,"$55,202",10/24/08,N/A,/movies/?id=roadsideromeo.htm
Fear(s) of the Dark,"$77,876",10/22/08,N/A,/movies/?id=fearsofthedark.htm
Igor,"$19,528,602",9/19/08,$25 million,/movies/?id=igor.htm
Star Wars: The Clone Wars,"$35,161,554",8/15/08,N/A,/movies/?id=starwarsclonewars.htm
